2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	GSK3B
LOXAPINE	SLC6A4
LOXAPINE	HTR1D
LOXAPINE	DRD1
LOXAPINE	HTR1E
LOXAPINE	HTR2A
LOXAPINE	ADRA1A
LOXAPINE	HRH4
LOXAPINE	CHRM3
LOXAPINE	HTR6
LOXAPINE	CHRM2
LOXAPINE	HTR2C
LOXAPINE	SLC6A2
LOXAPINE	CHRM5
LOXAPINE	SLC6A3
LOXAPINE	HTR1A
LOXAPINE	HTR1B
LOXAPINE	DRD3
LOXAPINE	CHRM4
LOXAPINE	HTR7
LOXAPINE	DRD2
LOXAPINE	ADRB1
LOXAPINE	HRH2
LOXAPINE	DRD4
1-BIPHENYL-2-YLMETHANAMINE	DPP4
HEMI-BABIM	PRSS1
HEMI-BABIM	F2
ALPHA-L-ARABINOSE	ARAF
ALPHA-L-ARABINOSE	GALM
MYRRH	NR1I2
MYRRH	NR1H4
MYRRH	PPARA
QR-333	AKR1B1
N-({4-[(2-AMINOPYRIDIN-4-YL)OXY]-3-FLUOROPHENYL}CARBAMOYL)-2-(4-FLUOROPHENYL)ACETAMIDE	MET
2-METHYL-2-PROPANOL	TPI1
2-METHYL-2-PROPANOL	RNASE1
2-METHYL-2-PROPANOL	CALM1
2-METHYL-2-PROPANOL	METAP2
OLOMOUCINE II	CDK2
BALANOL ANALOG 2	PRKACA
PICLAMILAST	PDE4D
PICLAMILAST	PDE4A
PICLAMILAST	PDE4B
PICLAMILAST	PDE4C
N-(2-FLOURO-BENZYL)-4-SULFAMOYL-BENZAMIDE	CA2
BELIMUMAB	TNFSF13B
ALUMINIUM MONOSTEARATE	VDAC1
ALUMINIUM MONOSTEARATE	TNNC1
ALUMINIUM MONOSTEARATE	VDAC2
ALUMINIUM MONOSTEARATE	VDAC3
TEZACITABINE	RRM1
(1S)-1-(9-DEAZAADENIN-9-YL)-1,4,5-TRIDEOXY-1,4-IMINO-5-METHYLTHIO-D-RIBITOL	MTAP
APADENOSON	ADORA2A
OCAPERIDONE	HTR2B
OCAPERIDONE	HTR2C
OCAPERIDONE	HRH1
OCAPERIDONE	ADRA1D
OCAPERIDONE	ADRA2B
OCAPERIDONE	ADRA2A
OCAPERIDONE	DRD2
OCAPERIDONE	HTR2A
OCAPERIDONE	ADRA2C
OCAPERIDONE	ADRA1B
OCAPERIDONE	ADRA1A
N-[2-(2-IODO-5-METHOXY-1H-INDOL-3-YL)ETHYL]ACETAMIDE	NQO2
ETHYL PYRUVATE	TNF
ETHYL PYRUVATE	HMGB1
5-HYDROXYMETHYLENE-6-HYDROFOLIC ACID	SHMT1
3,5-DIIODOTYROSINE	PRKACA
3,5-DIIODOTYROSINE	PRSS1
3,5-DIIODOTYROSINE	IYD
3,5-DIIODOTYROSINE	PKIA
METAMIZOLE	PTGS1
REMIFENTANIL	OPRM1
REMIFENTANIL	OPRK1
REMIFENTANIL	OPRD1
MEDRYSONE	NR3C1
KAPPADIONE	PROS1
KAPPADIONE	F7
KAPPADIONE	F2
KAPPADIONE	F10
KAPPADIONE	F9
KAPPADIONE	PROC
KAPPADIONE	GGCX
RAMUCIRUMAB	KDR
N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCYL-L-ALANINE	CTSB
SITAXENTAN	EDNRA
SITAXENTAN	EDNRB
LONOCTOCOG ALFA	CANX
LONOCTOCOG ALFA	ASGR2
LONOCTOCOG ALFA	F9
LONOCTOCOG ALFA	LMAN1
LONOCTOCOG ALFA	VWF
LONOCTOCOG ALFA	LRP1
LONOCTOCOG ALFA	PHYH
LONOCTOCOG ALFA	F10
LONOCTOCOG ALFA	HSPA5
LONOCTOCOG ALFA	MCFD2
LONOCTOCOG ALFA	CALR
LOVASTATIN	ITGAL
LOVASTATIN	HMGCR
LOVASTATIN	HDAC2
L-METHIONINE (R)-S-OXIDE	APP
PROPIDIUM	ACHE
ESOMEPRAZOLE	ATP4A
THENOYLTRIFLUOROACETONE	SDHA
THENOYLTRIFLUOROACETONE	CES1
LOBELINE	CHRNA7
LOBELINE	CHRNA10
LOBELINE	CHRNA9
ENCAINIDE	SCN5A
REBOXETINE	SLC6A2
MLN0415	IKBKB
IRON SACCHARATE	HBA1
7-(5-DEOXY-BETA-D-RIBOFURANOSYL)-5-IODO-7H-PYRROLO[2,3-D]PYRIMIDIN-4-AMINE	ADK
MITEMCINAL	MLNR
4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL	ABO
TIAPRIDE	DRD2
TIAPRIDE	DRD3
TIAPRIDE	HRH1
DUTOGLIPTIN	DPP4
SB-269970	HTR7
VALPROIC ACID	HDAC9
VALPROIC ACID	ACADSB
VALPROIC ACID	ALDH5A1
VALPROIC ACID	PPARA
VALPROIC ACID	PPARG
VALPROIC ACID	PPARD
VALPROIC ACID	OGDH
VALPROIC ACID	HDAC2
VALPROIC ACID	ABAT
4-[5-[2-(1-PHENYL-ETHYLAMINO)-PYRIMIDIN-4-YL]-1-METHYL-4-(3-TRIFLUOROMETHYLPHENYL)-1H-IMIDAZOL-2-YL]-PIPERIDINE	MAPK14
(2R)-1-(DIMETHYLAMINO)-3-{4-[(6-{[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-4-YL)AMINO]PHENOXY}PROPAN-2-OL	CDK2
4-IODOBENZO[B]THIOPHENE-2-CARBOXAMIDINE	PRSS1
4-IODOBENZO[B]THIOPHENE-2-CARBOXAMIDINE	F2
4-IODOBENZO[B]THIOPHENE-2-CARBOXAMIDINE	PLAU
METHYLTESTOSTERONE	AR
METHYLTESTOSTERONE	ESR1
2-(OXALYL-AMINO)-4,7-DIHYDRO-5H-THIENO[2,3-C]PYRAN-3-CARBOXYLIC ACID	PTPN1
(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-[(R)-[(1R)-1-{[(BENZYLOXY)CARBONYL]AMINO}-2-METHYLPROPYL](HYDROXY)PHOSPHORYL]PROPANOIC ACID	CPB1
BLINATUMOMAB	CD19
BLINATUMOMAB	CD3D
BENZOPHENONE	ESR1
BENZOPHENONE	ESR2
CILAZAPRIL	ACE
CRA_9076	PRSS1
LEUPROLIDE	GNRHR
S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE	AR
ALDOSTERONE	NR3C2
ALDOSTERONE	NR3C1
(1S,2R,5S)-5-[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]-2-(2,4,5-TRIFLUOROPHENYL)CYCLOHEXANAMINE	DPP4
[3-(1-BENZYL-3-CARBAMOYLMETHYL-2-METHYL-1H-INDOL-5-YLOXY)-PROPYL-]-PHOSPHONIC ACID	PLA2G2A
BUT-3-ENYL-[5-(4-CHLORO-PHENYL)-3,6-DIHYDRO-[1,3,4]THIADIAZIN-2-YLIDENE]-AMINE	MMP8
L-TYROSINE	YARS2
L-TYROSINE	TAT
L-TYROSINE	TH
L-TYROSINE	YARS
KB002	CSF2RA
KB002	CSF2
KB002	CSF2RA
ETHYLMERCURITHIOSALICYLIC ACID	OXCT1
(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE	CALM1
(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE	CAMK2D
4-HYDROXY-ACONITATE ION	ACO2
PAMIDRONATE	FDPS
PROCAINE	HTR3A
PROCAINE	GRIN3A
PROCAINE	SCN10A
PROCAINE	CHRNA2
PROCAINE	SLC6A3
COBIPROSTONE	CLCN2
VOGLIBOSE	MGAM
CYCLO-TETRAMETAVANADATE	C3
PIPERINE	NR1I2
3,4-DIHYDROXYCINNAMIC ACID	MIF
2-(OXALYL-AMINO)-4,7-DIHYDRO-5H-THIENO[2,3-C]THIOPYRAN-3-CARBOXYLIC ACID	PTPN1
FOSPROPOFOL	GABRB2
FOSPROPOFOL	GABRB3
INTERFERON BETA-1A	IFNAR1
INTERFERON BETA-1A	IFNAR2
FELYPRESSIN	AVPR1A
TOSITUMOMAB	C1R
TOSITUMOMAB	C1QC
TOSITUMOMAB	FCGR3A
TOSITUMOMAB	FCGR2A
TOSITUMOMAB	FCGR2B
TOSITUMOMAB	C1QA
TOSITUMOMAB	FCGR1A
TOSITUMOMAB	FCGR2C
TOSITUMOMAB	MS4A1
TOSITUMOMAB	C1QB
TOSITUMOMAB	FCGR3B
MIRTAZAPINE	SLC6A3
MIRTAZAPINE	ADRA2C
MIRTAZAPINE	HRH3
MIRTAZAPINE	HRH1
MIRTAZAPINE	HTR2C
MIRTAZAPINE	HTR2B
MIRTAZAPINE	SLC6A2
MIRTAZAPINE	HTR2A
MIRTAZAPINE	ADRA1A
MIRTAZAPINE	ADRA2A
MIRTAZAPINE	ADRB2
MIRTAZAPINE	DRD3
MIRTAZAPINE	HTR3A
MIRTAZAPINE	SLC6A4
MIRTAZAPINE	DRD2
MIRTAZAPINE	HTR7
MIRTAZAPINE	OPRK1
MIRTAZAPINE	ADRB1
7-METHYL-GPPPA	EIF4E
7-METHYL-GPPPA	DCPS
ACEMETACIN	PTGS1
ACEMETACIN	PTGS2
D-1-NAPHTHYL-2-ACETAMIDO-ETHANE BORONIC ACID	CTRB1
BECOCALCIDIOL	MED1
BECOCALCIDIOL	VDR
LYSOPHOSPHOTIDYLSERINE	F2
RIBOSE-5-PHOSPHATE	RPIA
2-[4-(2,4-DICHLOROPHENOXY)PHENOXY]PROPANOIC ACID	ACACB
(2S)-1-(2,5-DIMETHYLPHENOXY)-3-MORPHOLIN-4-YLPROPAN-2-OL	BACE1
1-METHYLOXY-4-SULFONE-BENZENE	MMP3
1-METHYLOXY-4-SULFONE-BENZENE	MMP13
PENTAGLYME	PFN2
PENTAGLYME	PURA
3-PHOSPHONO-D-ALANINE	PSPH
4-[(1S)-1-(3-FLUORO-4-METHOXYPHENYL)-2-(2-METHOXY-5-NITROPHENYL)ETHYL]-1H-IMIDAZOL-2-AMINE	BACE1
PRALATREXATE	TYMS
PRALATREXATE	DHFR
ZUCLOPENTHIXOL	ADRA1A
ZUCLOPENTHIXOL	DRD2
ZUCLOPENTHIXOL	DRD5
ZUCLOPENTHIXOL	ADRA2A
ZUCLOPENTHIXOL	DRD1
ZUCLOPENTHIXOL	HRH1
ZUCLOPENTHIXOL	HTR2A
ACEPROMAZINE	HTR1A
ACEPROMAZINE	DRD2
ACEPROMAZINE	ADRA1A
ACEPROMAZINE	DRD1
ACEPROMAZINE	ADRA1B
ACEPROMAZINE	HTR2A
FLAVIN-ADENINE DINUCLEOTIDE-N5-ISOBUTYL KETONE	DAO
DAPOXETINE	HTR1A
DAPOXETINE	HTR1B
DAPOXETINE	HTR2C
IMMUCILLIN-G	PNP
VARESPLADIB METHYL	PLA2G10
VARESPLADIB METHYL	PLA2G2A
METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID	MMP8
METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID	MMP1
2-{3-[(2S)-4,4-DIFLUORO-2-(PYRROLIDIN-1-YLCARBONYL)PYRROLIDIN-1-YL]-3-OXOPROPYL}-ISOINDOLE-1,3(2H)-DIONE	PREP
PARACHLOROPHENOL	SCN4A
(3R,4S)-1-{6-[3-(METHYLSULFONYL)PHENYL]PYRIMIDIN-4-YL}-4-(2,4,5-TRIFLUOROPHENYL)PYRROLIDIN-3-AMINE	DPP4
BRETYLIUM	ATP1A1
TRIFLUOROETHANOL	ADH1C
TRIFLUOROETHANOL	HRAS
C16-FATTY-ACYL-SUBSTRATE-MIMIC	INHA
3-PHOSPHOGLYCEROL	ALDOB
3-PHOSPHOGLYCEROL	PFKFB1
6-(5-BROMO-2-HYDROXYPHENYL)-2-OXO-4-PHENYL-1,2-DIHYDROPYRIDINE-3-CARBONITRILE	PIM1
E-2012	PSENEN
E-2012	APH1A
2-{4-[(2S)-2-[({[(1S)-1-CARBOXY-2-PHENYLETHYL]AMINO}CARBONYL)AMINO]-3-OXO-3-(PENTYLAMINO)PROPYL]PHENOXY}MALONIC ACID	PTPN1
ARGININOSUCCINATE	ASL
ALECTINIB	ALK
RUTIN	AKR1C3
RUTIN	CBR1
DIMETHYLALLYL DIPHOSPHATE	FDPS
DIMETHYLALLYL DIPHOSPHATE	IDI1
URIDINE DIPHOSPHATE GLUCOSE	GALE
URIDINE DIPHOSPHATE GLUCOSE	GYG1
URIDINE DIPHOSPHATE GLUCOSE	GLT6D1
URIDINE DIPHOSPHATE GLUCOSE	GALT
TRIAZOLOPYRIDINE	MAPK14
DOCONEXENT	SREBF1
DOCONEXENT	PPARA
DOCONEXENT	RXRB
DOCONEXENT	RXRA
DOCONEXENT	PPARG
DOCONEXENT	RXRG
(3R,4R,5R)-5-(HYDROXYMETHYL)-1-(3-PHENYLPROPYL)PIPERIDINE-3,4-DIOL	PYGM
HEME C	CYP2C9
HEME C	CYCS
4-(AMINOSULFONYL)-N-[(4-FLUOROPHENYL)METHYL]-BENZAMIDE	CA2
ICOSAPENT	ACSL3
ICOSAPENT	PTGS2
ICOSAPENT	SLC8A1
ICOSAPENT	PTGS1
ICOSAPENT	TRPV1
ICOSAPENT	PPARA
ICOSAPENT	ACSL4
ICOSAPENT	FFAR1
ICOSAPENT	PPARD
ICOSAPENT	FADS1
ICOSAPENT	PPARG
CYSTEINESULFONIC ACID	PRX
CYSTEINESULFONIC ACID	PTPN1
CYSTEINESULFONIC ACID	GLIPR2
CYSTEINESULFONIC ACID	CDC25B
CYSTEINESULFONIC ACID	CTSL
1-(2-CHLOROPHENYL)-3,5-DIMETHYL-1H-PYRAZOLE-4-CARBOXYLIC ACID ETHYL ESTER	PDE4B
N6-BENZYL ADENOSINE-5-DIPHOSPHATE	SRC
10,11-DIMETHOXY-4-METHYLDIBENZO[C,F]-2,7-NAPHTHYRIDINE-3,6-DIAMINE	PDPK1
BIS(5-AMIDINO-2-BENZIMIDAZOLYL)METHANE KETONE HYDRATE	PRSS1
C1-INH	SERPING1
D-MYO-INOSITOL-HEXASULPHATE	FST
5-{3-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2-METHYL-PHENOXY}-PENTANOIC ACID	PYGM
IMIDAFENACIN	CHRM2
IMIDAFENACIN	CHRM3
IMIDAFENACIN	CHRM1
B-2-OCTYLGLUCOSIDE	TGM3
B-2-OCTYLGLUCOSIDE	RHO
DEFIBROTIDE	ADORA1
DEFIBROTIDE	ADORA2B
DEFIBROTIDE	ADORA2A
METHYPRYLON	GABRA1
BENZYL N-({(2S,3S)-3-[(PROPYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINATE	CTSB
1-ETHYL-N-(PHENYLMETHYL)-4-(TETRAHYDRO-2H-PYRAN-4-YLAMINO)-1H-PYRAZOLO[3,4-B]PYRIDINE-5-CARBOXAMIDE	PDE4B
NONACOG BETA PEGOL	F10
NONACOG BETA PEGOL	F7
NONACOG BETA PEGOL	F8
CLADRIBINE	POLE3
CLADRIBINE	POLE4
CLADRIBINE	PNP
CLADRIBINE	POLA1
CLADRIBINE	RRM1
CLADRIBINE	POLE2
CLADRIBINE	RRM2B
CLADRIBINE	RRM2
CLADRIBINE	POLE
CYTIDINE	UCK2
PASBN	SRC
MDL 101,146	CELA1
MDL 101,146	ELANE
LAURIC ACID	LY96
LAURIC ACID	HNF4A
LAURIC ACID	C8G
LAURIC ACID	PLA2G2D
LAURIC ACID	ADH5
LAURIC ACID	VLDLR
LAURIC ACID	GM2A
LAURIC ACID	LTF
LAURIC ACID	PPARA
LAURIC ACID	GLTP
LAURIC ACID	PLA2G2A
LAURIC ACID	TLR4
2-(4-CHLOROPHENYL)-5-QUINOXALINECARBOXAMIDE	PARP1
6-[N-(1-ISOPROPYL-3,4-DIHYDRO-7-ISOQUINOLINYL)CARBAMYL]-2-NAPHTHALENECARBOXAMIDINE	PLAU
2-FLUORO-6-{[2-({2-METHOXY-4-[(METHYLSULFONYL)METHYL]PHENYL}AMINO)-7H-PYRROLO[2,3-D]PYRIMIDIN-4-YL]AMINO}BENZAMIDE	MAPK8
4-[HYDROXY-[METHYL-PHOSPHINOYL]]-3-OXO-BUTANOIC ACID	FAH
(S)-N-(4-CARBAMIMIDOYLBENZYL)-1-(2-(CYCLOHEXYLOXY)ETHANOYL)PYRROLIDINE-2-CARBOXAMIDE	PRSS1
(S)-N-(4-CARBAMIMIDOYLBENZYL)-1-(2-(CYCLOHEXYLOXY)ETHANOYL)PYRROLIDINE-2-CARBOXAMIDE	F2
ASTAXANTHIN	NFKBIA
N-(4-CARBAMIMIDOYLBENZYL)-1-(3-PHENYLPROPANOYL)-L-PROLINAMIDE	F2
4-(2-AMINOETHOXY)-3,5-DICHLORO-N-[3-(1-METHYLETHOXY)PHENYL]BENZAMIDE	PLAU
N-[(1S)-2-[(4-CYANO-1-METHYLPIPERIDIN-4-YL)AMINO]-1-(CYCLOHEXYLMETHYL)-2-OXOETHYL]MORPHOLINE-4-CARBOXAMIDE	CTSS
N-METHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE	CYP2A6
S-ETHYLISOTHIOUREA	NOS2
S-ETHYLISOTHIOUREA	NOS3
MITIGLINIDE	ABCC8
MITIGLINIDE	PPARG
FENOXAPROP-ETHYL	NOS2
PHENETHYLAMINE	PRSS2
PHENETHYLAMINE	PRSS1
4-[(7R,7AS)-7-HYDROXY-1,3-DIOXOTETRAHYDRO-1H-PYRROLO[1,2-C]IMIDAZOL-2(3H)-YL]-1-NAPHTHONITRILE	AR
(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE	PIK3CG
(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE	PIK3CA
(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE	PIK3R1
(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE	PLK1
BRENTUXIMAB VEDOTIN	TNFRSF8
1-BUTANOYL-N-(4-CARBAMIMIDOYLBENZYL)-L-PROLINAMIDE	F2
(1R,2S)-9-(2-HYDROXY-3-KETO-CYCLOPENTEN-1-YL)ADENINE	AHCY
ELDELUMAB	CXCL10
GM6001	ADAM28
GM6001	ACAN
GUANFACINE	ADRA2B
GUANFACINE	ADRA2A
CHGN111	CLK1
RP101	UPP2
RP101	UPP1
5-METHOXY-1,2-DIMETHYL-3-(PHENOXYMETHYL)INDOLE-4,7-DIONE	NQO1
ISOPROPAMIDE	CHRM3
ISOPROPAMIDE	CHRM4
3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE	NCOA1
3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE	ESR2
L-BENZYLSUCCINIC ACID	SCPEP1
L-BENZYLSUCCINIC ACID	CPA1
PENTOXIFYLLINE	PDE5A
PENTOXIFYLLINE	ADORA1
PENTOXIFYLLINE	PDE4A
PENTOXIFYLLINE	ADORA2A
PENTOXIFYLLINE	PDE4B
PENTOXIFYLLINE	NT5E
(2R)-N-{4-[ETHYL(PHENYL)SULFAMOYL]-2-METHYLPHENYL}-3,3,3-TRIFLUORO-2-HYDROXY-2-METHYLPROPANAMIDE	PDK2
6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE	TYMS
INECALCITOL	VDR
2-({[3,5-DIFLUORO-3-(TRIFLUOROMETHOXY)BIPHENYL-4-YL]AMINO}CARBONYL)CYCLOPENT-1-ENE-1-CARBOXYLIC ACID	DHODH
1-(HYDROXYMETHYLENEAMINO)-8-HYDROXY-OCTANE	F2
THIODIGALACTOSIDE	LGALS1
THIODIGALACTOSIDE	NCAN
7-NITROINDAZOLE-2-CARBOXAMIDINE	NOS3
N-[4-HYDROXYMETHYL-CYCLOHEXAN-6-YL-1,2,3-TRIOL]-4,6-DIDEOXY-4-AMINOGLUCOPYRANOSIDE	AMY2B
N-[4-HYDROXYMETHYL-CYCLOHEXAN-6-YL-1,2,3-TRIOL]-4,6-DIDEOXY-4-AMINOGLUCOPYRANOSIDE	AMY2A
ACAMPROSATE	GRM5
IGN311	ERBB2
IGN311	EGFR
5-CHLORO-1H-INDOLE-2-CARBOXYLIC ACID{[CYCLOPENTYL-(2-HYDROXY-ETHYL)-CARBAMOYL]-METHYL}-AMIDE	PYGL
CYTIDINE-5-MONOPHOSPHATE	UCK2
CYTIDINE-5-MONOPHOSPHATE	CMPK1
4-[4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)-3-METHYL-1H-PYRAZOL-5-YL]-6-ETHYLBENZENE-1,3-DIOL	HSP90AA1
4-[4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)-3-METHYL-1H-PYRAZOL-5-YL]-6-ETHYLBENZENE-1,3-DIOL	HSP90AB1
LATANOPROST	PTGFR
HEPTYL-BETA-D-GLUCOPYRANOSIDE	PPARD
HEPTYL-BETA-D-GLUCOPYRANOSIDE	FKBP1A
2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE	CYP1A2
(2S)-1-[4-({4-[(2,5-DICHLOROPHENYL)AMINO]-2-PYRIMIDINYL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)-2-PROPANOL	CDK2
N-[2-(4-AMINO-5,8-DIFLUORO-1,2-DIHYDROQUINAZOLIN-2-YL)ETHYL]-3-FURAMIDE	NOS2
4-HYDROXYFLAVANONE	SHBG
(S)-2-AMINO-3-(1,3,5,7-PENTAHYDRO-2,4-DIOXO-CYCLOPENTA[E]PYRIMIDIN-1-YL) PROIONIC ACID	GRIA2
UMECLIDINIUM	CHRM4
UMECLIDINIUM	CHRM2
UMECLIDINIUM	CHRM5
UMECLIDINIUM	CHRM3
UMECLIDINIUM	CHRM1
(1S)-1-(PHENOXYMETHYL)PROPYL METHYLPHOSPHONOCHLORIDOATE	LIPA
2-METHYL-2-(4-{[({4-METHYL-2-[4-(TRIFLUOROMETHYL)PHENYL]-1,3-THIAZOL-5-YL}CARBONYL)AMINO]METHYL}PHENOXY)PROPANOIC ACID	NCOA1
2-METHYL-2-(4-{[({4-METHYL-2-[4-(TRIFLUOROMETHYL)PHENYL]-1,3-THIAZOL-5-YL}CARBONYL)AMINO]METHYL}PHENOXY)PROPANOIC ACID	PPARA
V1003	OPRM1
V1003	OPRK1
GLUTATHIONE DISULFIDE	GSR
GLUTATHIONE DISULFIDE	GSTM2
ALPHA-D-FUCOSE	ARAF
ALPHA-D-FUCOSE	LTF
LUMIRACOXIB	PTGS2
LUMIRACOXIB	PTGS1
4-[(6-AMINO-4-PYRIMIDINYL)AMINO]BENZENESULFONAMIDE	CDK2
N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID	F7
AROTINOID ACID	RARB
TILUDRONIC ACID	PTPN1
TILUDRONIC ACID	ATP6V1A
5-O-(N-(L-ALANYL)-SULFAMOYL)ADENOSINE	EPRS
N-[2-(2-METHYL-1H-INDOL-3-YL)ETHYL]THIOPHENE-2-CARBOXAMIDE	ARPC2
N-[2-(2-METHYL-1H-INDOL-3-YL)ETHYL]THIOPHENE-2-CARBOXAMIDE	ARPC1B
N-[2-(2-METHYL-1H-INDOL-3-YL)ETHYL]THIOPHENE-2-CARBOXAMIDE	ARPC4
N-[2-(2-METHYL-1H-INDOL-3-YL)ETHYL]THIOPHENE-2-CARBOXAMIDE	ACTR3
N-[2-(2-METHYL-1H-INDOL-3-YL)ETHYL]THIOPHENE-2-CARBOXAMIDE	ARPC5
N-[2-(2-METHYL-1H-INDOL-3-YL)ETHYL]THIOPHENE-2-CARBOXAMIDE	ACTR2
N-[2-(2-METHYL-1H-INDOL-3-YL)ETHYL]THIOPHENE-2-CARBOXAMIDE	ARPC3
GHAVAMIOL	MAN2A1
(2R)-2-BENZYL-3-NITROPROPANOIC ACID	CPA1
OLAPARIB	PARP1
OLAPARIB	PARP3
OLAPARIB	PARP2
(2S)-1,3-BENZOTHIAZOL-2-YL{2-[(2-PYRIDIN-3-YLETHYL)AMINO]PYRIMIDIN-4-YL}ETHANENITRILE	PIM1
CX157	MAOA
N-ETHYL-N-[3-(PROPYLAMINO)PROPYL]PROPANE-1,3-DIAMINE	SAT1
CX516	GRIA1
N-(2-AMINOETHYL)-5-CHLOROISOQUINOLINE-8-SULFONAMIDE	CSNK1G2
(4-ETHYLPHENYL)SULFAMIC ACID	PTPRB
N-(4-CHLOROBENZYL)-N-METHYLBENZENE-1,4-DISULFONAMIDE	CA13
UROKINASE	PLAT
UROKINASE	PLAU
UROKINASE	NID1
UROKINASE	PLAUR
UROKINASE	ST14
UROKINASE	SERPINE1
UROKINASE	SERPINB2
UROKINASE	PLG
UROKINASE	LRP2
UROKINASE	SERPINA5
MAFENIDE	CA6
ANATIBANT	BDKRB2
SARIZOTAN	DRD2
SARIZOTAN	HTR1A
SARIZOTAN	DRD3
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	ACTA1
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	GSK3B
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	RAD51
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	CSNK2A1
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	PFKFB4
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	LCK
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	VCP
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	EPHB2
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	MAPK12
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	EPHA2
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	TOP2B
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	KIF2C
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	MAPK10
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	CCT3
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	DAPK1
PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	PIM1
